735806.741096,19679166323454.140625,17112318542134.037109
735848.947703,1071669378408.483521,301878695288.850952
735915.245723,327505903099896.812500,14238355266160.093750
736003.123706,4266682670166.718750,623784016098.646118
736014.208800,8513441142225.905273,1888378776099.537842
736019.068536,30286496714787.277344,4519248441388.019531
736035.867117,6720659646935.530273,2087161387550.156006
736058.037403,154200461093020.093750,6515971303426.416992
736129.521301,7754176771761.974609,1289139924994.593994
736129.602204,59092609650694.750000,1493306058674.685791
736138.024865,51132282278197.921875,3816791385709.269043
736150.084917,13540597645473.919922,2663724126978.477539
736150.475573,13493204694456.080078,2112714716647.798584
736162.977501,50080188233313.164062,5486235680848.797852
736180.161872,27782440461404.980469,3455527444075.215332
736188.513377,57539654473149.882812,2032724487593.359863
736216.578193,5186017581899.195312,92371030790.405579
736222.062477,22655368337911.054688,4282678338104.961914
736238.389492,10548816775187.648438,4681427596194.011719
736239.939102,24582276438921.863281,2362923059906.711914
736260.883773,16245357046335.908203,867730279822.922729
736275.775153,13884932616372.191406,3349802826396.792969
736288.907377,97812779444229.265625,1944974736057.294434
736323.050663,312898813081701.312500,12535173224013.876953
736364.764003,21923384583332.773438,2393382599255.601074
736394.349177,104458660068386.203125,3001110707844.999512
736404.082161,6762400185618.536133,388420457970.520752
736439.840872,3047685571848.062500,323247541629.079041
736466.181326,2138342821153.580811,49146008260.751045
736495.867473,171643296617795.406250,10811041113035.707031
736570.849270,8779488697726.691406,199480941382.090790
736590.200579,22061939525491.402344,11217935658061.330078
736604.852655,24774906493455.046875,225523704058.264435
736613.740064,32450858341700.695312,763429854945.030518
736615.192396,3621433963859.884277,4243867861911.403320
736641.182706,118892554900556.140625,1743633478414.145996
736718.580322,945337620157.782593,26598010481.609539
736742.229897,63872615065013.023438,864506406834.916382
736769.163147,28272575503694.039062,3400871120006.527832
736799.767819,2138346875316.997803,39785664985.517563
736816.708730,11235375987509.013672,223034758991.281281
736832.792407,5371499582473.114258,212256305680.666748
736882.379069,4266686048636.232910,65117047986.903572
736882.619735,1698535642794.192627,25969507566.248081
736897.117079,8513443169307.612305,22803861966149.546875
736903.444650,526189278605103.312500,7314618583301.463867
736905.588127,2692122542998.617676,7157552600.314569
736905.959326,5117930532253.202148,2620100916000.471191
736951.711461,7665774236826.301758,724895908604.423706
736996.014549,14129294687957.474609,199448930806.468140
737066.310750,41528448243818.242188,2219981202719.918945
737079.460729,60791129076835.281250,4718587020741.076172
737116.739317,22012309060119.253906,14707555424435.347656
737220.396412,7070016305838.028320,897020454331.445068
737241.305235,24824920260722.347656,8530900601412.958008
737254.512676,227375584076235.031250,32160620241516.128906
737267.731628,25846550195495.242188,10096308516567.316406
737268.567325,122827103000143.609375,4536829715695.432617
737293.155813,8513442493613.709961,2526244036775.087891
737308.656212,3487498831452.576172,88298561152.596024
737313.736399,1403931897505.649658,849152394564.065430
737319.620132,7663718143978.250977,279018864059.566650
737324.962899,3487509642555.021484,45583395863.487404
737340.869878,3836855490355.077148,155076678264.607056
737359.250309,16974354672739.843750,2139175117527.526611
737377.345310,177937893194364.250000,3355735842235.162109
737394.866712,29615445412165.554688,1541534428763.381592
737424.786094,21253814290829.609375,272869614605.822937
737449.797144,24211112757077.796875,37343617221903.664062
737459.769273,35252533552630.703125,252878545123.113373
737463.459414,5371495528309.700195,170840038290.948273
737503.988503,16892347.568541,546000.567937
737513.900854,4266684021554.524414,290976407078.611877
737525.919021,320464873684672.125000,10507045019033.345703
737543.990631,24211110054302.187500,479001088378.083740
737574.683472,150063093511581.906250,17864653989474.035156
737575.745162,188486843969941.156250,9105644636229.041016
737607.030722,8580129815531.741211,1248624261353.356934
737607.577878,537089471598.335510,107274859576.599884
737669.857464,1698527534467.358643,101881087724.913452
737673.671550,83125498001449.640625,3224001215311.561035
737683.136911,3389106162560.618652,337168577418.111023
737692.399640,32158141373758.703125,325641072458.102722
737698.349428,2662227707775.493164,50218077873.739693
737720.927745,154450381132606.312500,2146187469684.831787
737745.848834,2692036054179.055176,162660788128.712372
737746.078712,5371494852615.797852,1223575142101.236816
737747.799229,2698331615721.172852,292343621422.962280
737752.943781,19231349204847.625000,782716695226.035278
737758.421484,4041196794335.370117,330478136847.263306
737762.101168,21385782087159.066406,781168222980.196289
737768.162860,10717912792479.035156,3379268352164.739746
737780.315639,2138334712826.746826,114145980731.227798
737784.075299,47727168395633.007812,709732849679.712891
737826.622189,797265883713807.750000,16427181669927.367188
737849.105292,16987132296356.796875,2902956252447.753906
737866.913803,34986930805066.718750,380796315141.951477
737867.540076,2692046865281.500488,72526070550.536682
737877.983498,6762388698822.196289,730674093038.279663
737882.703112,1698519426140.524658,49495466557.447144
737911.412300,39266446391457.226562,1925927234271.979736
737917.428449,5384065351419.079102,163318463771.281555
737918.909619,1698520777528.330322,627532317200.772949
737922.911899,5371495528309.700195,382539741235.422119
737931.463322,47038239411851.976562,355631850588.798523
737953.057535,676165546659.164673,48297539142.700935
737953.667755,102702482808655.187500,626680460365.951904
737966.877708,15275826462578.589844,666581516143.834595
737979.356979,50295523841691.328125,625306969539.979126
737987.339461,6405014680217.851562,692309281804.937378
737992.293113,119238366384642.093750,2944157194682.520996
737995.841562,3047683544766.354004,496904920818.876282
738012.725486,117909330873151.734375,2217799883853.334473
738016.120451,36586982187469.250000,63629543134302.617188
738020.554954,149404727102694.437500,7538712989161.098633
738031.097604,5965201420613.336914,200600877936.851013
738041.576655,70556550628864.437500,4437984088566.447266
738058.966185,28272574152306.234375,2499417183932.315430
738068.243297,29899227959242.289062,416878599241.486816
738068.420292,55138961165505.890625,330012036965.449707
738070.786957,23809190451524.218750,1467438550054.630127
738078.750598,1349168848483.149170,1121192880084.546631
738109.314278,32262957407547.582031,3704837215192.705566
738110.584725,20255593393278.277344,409686702052.935181
738115.982715,44810038081563.664062,2875818053666.465820
738117.710810,5371498906779.211914,2295512347078.821289
738128.317875,4266683345860.621582,465795126176.232910
738128.913619,4266681318778.913086,2952720701358.362305
738130.518469,1698519426140.524658,100842237508.981293
738131.913968,15631537380201.117188,3278197272807.517578
738148.623698,22074755857976.230469,109667338858.694336
738153.052832,5527438172611.752930,259341797744.794769
738156.164981,441599060870183.750000,22222547763902.203125
738156.561657,55671302637234.195312,273593702742.125854
738160.949396,3836873058396.550781,105995848490.067612
738163.617720,12162490.249350,871758.948574
738189.866659,74394046079641.890625,468132434690.981018
738191.013969,2692033351403.443848,516374679502.382812
738207.881356,486918198046734.375000,3686400410917.902344
738234.226803,2692040108342.472168,246749780542.878418
738246.610890,24211119514016.820312,311370337035.028625
738259.892632,1698534291406.386963,52567213631.678635
738269.160719,30312514844853.218750,1898883794010.396484
738271.726844,67631654678044.062500,7345943691910.320312
738282.334868,115174080760495.015625,4050908533873.030762
738290.525546,25652474217040.414062,271493059690.064301
738305.497839,6762393428679.512695,486794969913.729736
738308.410753,6599116335040.964844,242317612479.510162
738315.750762,32103705690740.539062,887414696358.342773
738321.563179,5371496204003.602539,8854114631957.005859
738325.112686,2702775.610967,4158116.324564
738327.526267,2692032675709.541016,35030462681.479607
738333.344666,85144197228064.781250,610330792792.087769
738343.851050,10717909414009.523438,33319929463430.839844
738350.642715,13493203343068.275391,4773538588274.738281
738351.308127,24698683917942.742188,298913010739.308960
738360.618079,21385778032995.652344,1387785724362.962402
738369.028090,29899223905078.875000,4778778469178.738281
738374.385624,139542412672863.796875,2976693131985.337402
738376.667674,33894957620086.531250,852453140952.549316
738384.259150,104293268633333.015625,8092067901953.744141
738386.728291,33894956268698.726562,1457325248942.596436
738388.967638,72462018012416.937500,1035788227069.251709
738392.310750,9097054788560.316406,320093412771.698669
738392.978793,15663174639272.181641,673829840874.180786
738393.119757,219479163127246.968750,5221343244777.989258
738396.196866,2138334712826.746826,324974876432.560669
